text,title
"我喜欢一回家　就有暖洋洋的灯光在等待
我喜欢一起床　就看到大家微笑的脸庞
我喜欢一出门　就为了家人和自己的理想打拼
我喜欢一家人　心朝着同一个方向眺望　哦～我喜欢快乐时　马上就想要和你一起分享
我喜欢受伤时　就想起你们温暖的怀抱
我喜欢生气时　就想到你们永远包容多么伟大
我喜欢旅行时　为你把美好记忆带回家因为我们是一家人　相亲相爱的一家人
有缘才能相聚　有心才会珍惜　何必让满天乌云遮住眼睛因为我们是一家人　相亲相爱的一家人
有福就该同享　有难必然同当　用相知相守还地久天长我喜欢一回家　就把乱遭遭的心情都忘掉
我喜欢一起床　就带给大家微笑的脸庞
我喜欢一出门　就为了个人和世界的美好打拼
我喜欢一家人　梦朝着同一个方向创造　哦～当别人快乐时　好像是自己获得幸福一样
当别人受伤时　我愿意敞开最真的怀抱
当别人生气时　告诉他就算观念不同不必激动
当别人需要时　我一定卷起袖子帮助他因为我们是一家人　相亲相爱的一家人
有缘才能相聚　有心才会珍惜　何必让满天乌云遮住眼睛因为我们是一家人　相亲相爱的一家人
有福就该同享　有难必然同当　用相知相守还地久天长※处处为你用心一直最有默契
　请你相信这份感情值得感激※因为我们是一家人　相亲相爱的一家人
有缘才能相聚　有心才会珍惜　何必让满天乌云遮住眼睛因为我们是一家人　相亲相爱的一家人
有福就该同享　有难必然同当　用相知相守还地久天长",相亲相爱一家人
"晴朗的我挥霍日出
阴郁的 冷漠的 我绑架了所有的温度是强悍 是脆弱
是无论如何骄傲地活
再多伤疤 优雅接受
不美丽算什么
花落醖酿了土地
陨石穿越后才成爲流星
凡事都在变
未走过的路
未知的结局没有距离挡得过决心
哪怕梦有几公里
没有谁能夺走你的心
远方传来一个声音说
我是风
是火
你抓不住
也驯不服
野兽
山座
水流
全都
是我盛开的我带领光束
孤绝的 固执的 我刮起了满天空烟雾是强悍 是脆弱
是无论如何骄傲地活
再多伤疤 优雅接受
不美丽算什么
黑云凝结出雨滴
沙漠中何尝又不是风景
凡事都在变
未走过的路
未知的结局没有距离挡得过决心
哪怕梦有几公里
没有谁能夺走你的心
远方传来一个声音说
我是风
是火
你抓不住
也驯不服
野兽
山座
水流
全都
是我",Thousand-Faced Beast (千面兽)
"你向左 我向右
开始就反着方向走
你随意 你自由
我偏偏爱跟着步骤你爱吃 猪羊牛
我三餐都少盐无油
你天生 爱浪游
我偏偏安定就足够我早听说你来自第四颗星球
而我甘于平凡安于地球
那一双勉强的手
早就该放手
就别再回头
从今以后忘了我 别难过
坦白说 这不过
是一种解脱
忘了我 别执着
你和我 的错过
真的并不错相爱过 再错过
只能说上帝太幽默
这一刻 再寂寞
也不过一时的脆弱你生活 少了我
不就能更加的自我
我生活 少了你
才能够少一点颠簸不是说男人来自第四颗星球
何必为我而屈就在地球
不是说你面前有
无边的宇宙
就别再回头
从今以后忘了我 别难过
坦白说 这不过
是一种解脱
忘了我 别执着
你和我 的错过
真的并不错那天真的承诺
就一笑而过
拿得起你也放得了我忘了我 别难过
坦白说 这不过
是一种解脱
忘了我 别执着
你和我 的错过
真的并不错忘了我
别再难过
忘了我
忘了过往一切的对错
忘了我
祝你我从此好好生活
重新的生活",Rightfully Wrong (错过不错)
"看你看我 原地在走着
眼睛都睁着 而脑袋都睡着
每张脸都 没多大区别
为什么这世界 变得太机械太多目光 曾把人刺伤
让人心中的窗 打开以前就关上
慢慢习惯 化一样的妆
学坚一样的强 泪流以前就擦干从小到大 听着同一个童话
跟着大家 渴望开一样的花
活得像一匹被 勒住的马
心里多狂热也 只能听话为何独特 会让人如此害怕
为何长大 必须同一个步伐
可是我相信着 世界之大
我只想寻找那 属于我的还未写的 另一个童话
还未变天鹅 的另一只小鸭
只不过在 等一个未来
等世界能欣赏 乌鸦的漂亮再多目光 再把人刺伤
别让自己遗忘 当时天真的模样
抹掉身上 有毒的土壤
别让陌生的妆 掩盖你我的光芒从小到大 听着同一个童话
跟着大家 渴望开一样的花
活得像一匹被 勒住的马
心里多狂热也 只能听话为何独特 会让人如此害怕
为何长大 必须同一个步伐
可是我相信着 世界之大
我只想寻找那 属于我的另一个童话 另一个童话
释放我心里那 自由的马
我只想追逐那 属于我的另一个童话 不一样的童话
让我们相信着 世界之大
用我们的独特 勇敢写下
另一个童话",My Fairytale (另一个童话)
"I need a girl to hold me down down down
I really need a girl to hold me down
Now now now
I really need a girl to hold me down
只想能陪在你身旁
你需要时候请靠我肩膀
Can you hold me down down down
I really need a girl to hold me down
你迷人微微笑的样子很可爱
出现在我生命里是上帝安排
命运 让你来到我心海
陪你到天涯海角从来不会徘徊
从不吝啬对你的宠爱
你回眸让我不能忘怀
聆听你话语我心跳加快
流言蜚语不予理睬
只要有你在一切alright
无论你需要什么我都会安排
你一通电话我就会来
从来没有想过我会这样但现在I need a girl to hold me down down down
I really need a girl to hold me down
Now now now
I really need a girl to hold me down
只想能陪在你身旁
你需要时候请靠我肩膀
Can you hold me down down down
I really need a girl to hold me down日出日落美不过你眼神
疼你爱你你就是我星辰
眉眼发梢之间露出的天真
每个样子都让我为你沉沦
想象不到没有你每个清晨
未来还要一起数每个年轮
Now now now
I really wanna love you down
只要有你在一切alright
无论你需要什么我都会安排
你一通电话我就会来
从来没有想过我会这样但现在I need a girl to hold me down down down
I really need a girl to hold me down
Now now now
I really need a girl to hold me down
只想能陪在你身旁
你需要时候请靠我肩膀
Can you hold me down down down
I really need a girl to hold me downLove me love me love me
Give me motivation yeahI need a girl to hold me down down down
I really need a girl to hold me down
Now now now
I really need a girl to hold me down
只想能陪在你身旁
你需要时候请靠我肩膀
Can you hold me down down down
I really need a girl to hold me down
Hold you downPowered by ",Hold Me Down
"你的心情 现在好吗
你的脸上 还有微笑吗
人生自古 就有许多愁和苦
请你多一些开心
少一些烦恼你的所得 还那样少吗
你的付出 还那样多吗
生活的路 总有一些不平事
请你不必太在意
洒脱一些过得好祝你平安 噢 祝你平安
让那快乐 围绕在你身边
祝你平安 噢 祝你平安
你永远都幸福
是我最大的心愿",祝你平安
"人比冰雪更冷
温暖的心竟热似炭
情感虽经冰封
解去冰封解怀热爱漫
身似云鹤悠间
飞过危难
我未尝寂寞
早已惯孤单
人心比我更冷
飘泊一生只剩慨叹
人生际遇像梦
深信真的永恒是变幻
此际前路漫漫
一片平淡
宁愿再轻生死
奔跑风雨间Powered by ",龙虎双霸天
"没有什么能比内心更辽阔
每一个人都会一闪而过
没有什么能抓住天上的云朵
也没有谁能扑灭欲望之火无门 无道 无限
无悲 无望 无怨
无天 无地 无间
无你 无我 无言",无
"情无限　却可惜相隔万重山
情未冷　犹在我心往返
人何在　在那相思里梦魂间
留下我　空怅望　独自凭栏
就算世间　百般变幻
不计渐老红颜
休说冷清岁月孤单
莫说今朝　月缺夜残
终会相依相见
从未改变情深无限
两心知　历遍风霜雪去未返
无恨怨　只盼望　塞外人还
人何在　在那相思里梦魂间
留下我　空怅望　独自凭栏
就算世间　百般变幻
不计渐老红颜
休说冷清岁月孤单
莫说今朝　月缺夜残
终会相依相见
从未改变情深无限
两心知　历遍风霜雪去未返
无恨怨　只盼望　塞外人还
缘未了　在两心　情无限",两地情
呆痴痴不禁想着昨天无心思的我仿佛太倦难分解心里复杂构思迷失的知觉仍受困扰～～繁复的都市不断叫嚣无心于工作懒得理会谁担心今晚欢乐太短齐高歌穿上银造舞衣心中感觉多困倦(话你知)愿你让快乐快乐给我传温馨的你抚我面(在耳边)尽诉着每段每段心中意身边似觉火烫热(未退烧)像发电你在你在给我热很想冲破心困倦(在这天)让这段美丽梦常挂在脑边(Trip Into Our Paradise)我躺在寂寞无聊赖(Trip Into Our Paradise)我躺在寂寞无聊赖～～～迷痴痴似觉天外有天迷痴痴忽觉嘴巴碰面摇摆摆的你拥着我肩摇摆摆仿似重获爱恋～～心中感觉多困倦(话你知)愿你让快乐快乐给我传温馨的你抚我面(在耳边)尽诉着每段每段心中意身边似觉火烫热(未退烧)像发电你在你在给我热很想冲破心困倦(在这天)让这段美丽梦常挂在脑边(Trip Into Our Paradise)我躺在寂寞无聊赖(Trip Into Our Paradise)我躺在寂寞无聊赖(Trip Into Our Paradise)我躺在寂寞无聊赖(Trip Into Our Paradise)我躺在寂寞无聊赖(Trip Into Our Paradise)我躺在寂寞无聊赖(Trip Into Our Paradise),迷城
